appid,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,total_reviews,positive_ratio,log_owners,is_free,Action,Adventure,RPG,Strategy,Simulation,Sports,Racing,release_quarter,release_dayofweek,release_is_q4,release_is_holiday,release_is_summer,release_is_tuesday,required_age,has_website,has_support_email,platform_windows,platform_mac,platform_linux,platform_count,supported_languages_count,full_audio_languages_count,weighted_language_score,screenshot_count,about_length,short_desc_length,has_detailed_desc,is_multiplayer,has_achievements,has_cloud_save,has_controller_support,has_vr_support,has_in_app_purchases,has_family_sharing,category_count,tag_count,top_tag_votes_total,top_tag_votes_mean,tag_singleplayer,tag_action,tag_casual,tag_adventure,tag_2d,tag_3d,tag_strategy,tag_simulation,tag_puzzle,tag_atmospheric,tag_rpg,tag_colorful,tag_pixel_graphics,tag_story_rich,tag_exploration,tag_cute,tag_firstperson,tag_arcade,tag_fantasy,tag_early_access,tag_multiplayer,tag_funny,tag_horror,tag_actionadventure,tag_retro,tag_shooter,tag_relaxing,tag_family_friendly,tag_platformer,tag_scifi,tag_anime,tag_combat,tag_female_protagonist,tag_controller,tag_topdown,tag_stylized,tag_third_person,tag_survival,tag_2d_platformer,tag_difficult,tag_mystery,tag_linear,tag_cartoony,tag_psychological_horror,tag_dark,tag_realistic,tag_comedy,tag_open_world,tag_choices_matter,tag_visual_novel,package_count,sku_count,achievement_count,release_month,store_page_score,platform_reach,is_mature_content,marketing_score,steam_integration,localization_score
1743530,3,1,10000.0,0,0,0,0,799.0,799.0,0.0,0,4,0.75,9.210440366976515,0,0,1,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,8.0,1072.5,211.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,360.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.6546620450606587,0.3333333333333333,0,0.56,0.5,0.12998266897746966
2271280,5,3,10000.0,0,0,0,0,499.0,499.0,0.0,0,8,0.625,9.210440366976515,0,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.17331022530329288,5.0,611.0,292.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,263.0,52.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5346620450606586,0.3333333333333333,0,0.42500000000000004,0.15,0.15498266897746965
3032640,114,6,10000.0,0,0,0,0,0.0,0.0,0.0,0,120,0.95,9.210440366976515,1,0,0,0,0,0,0,0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,5.0,422.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,188.0,37.6,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.28466204506065856,0.3333333333333333,0,0.42500000000000004,0.0,0.12998266897746966
803760,2,0,10000.0,0,0,0,0,699.0,699.0,0.0,0,2,1.0,9.210440366976515,0,0,1,0,0,0,0,0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,7.0,590.0,166.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,62.0,20.666666666666668,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,0.7146620450606587,0.3333333333333333,0,0.865,0.15,0.12998266897746966
50400,0,0,10000.0,1656,0,1656,0,0.0,0.0,0.0,2,0,0.0,9.210440366976515,1,0,0,0,0,0,0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,8.0,1072.5,211.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,360.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,0.6546620450606587,0.3333333333333333,0,0.56,0.5,0.12998266897746966
259890,76,223,75000.0,5,0,7,0,499.0,499.0,0.0,0,299,0.2541806020066889,11.225256725762891,0,1,0,0,1,1,0,0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,0.3934142114384748,20.0,1137.0,340.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,20.0,697.0,139.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,11.0,0.778682842287695,0.3333333333333333,0,0.65,0.4,0.2950606585788561
598660,19,22,10000.0,191,0,191,0,999.0,999.0,0.0,0,41,0.4634146341463415,9.210440366976515,0,0,0,0,0,0,0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,8.0,1072.5,211.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,360.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,0.6546620450606587,0.3333333333333333,0,0.56,0.5,0.12998266897746966
3403880,27,4,10000.0,0,0,0,0,199.0,199.0,0.0,0,31,0.8709677419354839,9.210440366976515,0,1,1,0,0,1,0,0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.17331022530329288,6.0,653.0,194.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,1922.0,384.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5746620450606587,0.3333333333333333,0,0.47000000000000003,0.15,0.15498266897746965
2143390,1,0,10000.0,0,0,0,0,99.0,99.0,0.0,0,1,1.0,9.210440366976515,0,0,1,0,0,0,0,0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.17331022530329288,8.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,198.0,39.6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,0.4046620450606586,0.3333333333333333,0,0.56,0.15,0.15498266897746965
847950,34,9,10000.0,0,0,0,0,999.0,999.0,0.0,0,43,0.7906976744186046,9.210440366976515,0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17331022530329288,14.0,1966.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,127.0,25.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.8346620450606587,0.3333333333333333,0,1.0,0.15,0.12998266897746966
